Source,Target,User,System,SegmentID,Segment,Score,Start,End,Delta
JPN,ENU,jpneng25115,NHK_0425002735_AS12RSTFRORNtrg-rmt.en.txt,1,ＤＥＲＳソフトウエアを用いて「ふげん発電所」の線量率を詳細に計算できる。,32,2021-05-19 06:06:27.795000,2021-05-19 06:06:40.890000,0:00:13.095000
JPN,ENU,jpneng2511c,NHK_0425002735_AS12RSTFRORNtrg-rmt.en.txt,2,線量率を計算する際の状況の変化，すなわちオブジェクトの変化をＶＲｄｏｓｅソフトウエアがＤＥＲＳに特別なマーカにより知らせる。,23,2021-05-14 20:54:10.696000,2021-05-14 20:54:31.114000,0:00:20.418000
JPN,ENU,jpneng25119,NHK_0425002735_AS12RSTFRORNtrg-rmt.en.txt,4,このソフトウエアのＲ５バージョンの特徴，利用マニュアルと設計文書をまとめた。,99,2021-05-17 23:05:54.927000,2021-05-17 23:06:06.639000,0:00:11.712000
JPN,ENU,jpneng25123,NHK_0425002735_AS12RSTFRORNtrg-rmt.en.txt,5,感知用と出力用の２基のコイル，増幅器，及び位相シフト回路からなる，位相シフト磁気センサーシステムを開発している。,83,2021-05-19 22:25:26.104000,2021-05-19 22:25:51.377000,0:00:25.273000
JPN,ENU,jpneng2510c,NHK_0425002735_AS12RSTFRORNtrg-rmt.en.txt,6,この回路は，入力信号位相の変化により共振周波数がシフトする帰還回路であり，２基のコイルの中央にある物体の磁気特性の変化を，高い感度と分解能で検出することができる。,99,2021-05-16 01:06:22.534000,2021-05-16 01:07:32.420000,0:01:09.886000
JPN,ENU,jpneng25134,NHK_0425002735_AS12RSTFRORNtrg-rmt.en.txt,7,コイルとしては，内径６ｍｍで８００ターンの２基のコイルを逆接続して用いた。,98,2021-05-17 05:00:43.559000,2021-05-17 05:01:01.189000,0:00:17.630000
JPN,ENU,jpneng25120,NHK_0425002735_AS12RSTFRORNtrg-rmt.en.txt,8,実験では，水道水，純水，及び磁化デバイスで処理した水道水の特性を周波数変化として分析することができた。,95,2021-05-14 04:53:27.197000,2021-05-14 04:54:10.741000,0:00:43.544000
JPN,ENU,jpneng25137,NHK_0425002735_AS12RSTFRORNtrg-rmt.en.txt,9,また，流速と流量の変化も検出できることを確認した。,80,2021-05-16 10:20:38.105000,2021-05-16 10:20:42.894000,0:00:04.789000
JPN,ENU,jpneng25123,NHK_0425002735_AS12RSTFRORNtrg-rmt.en.txt,10,無線ＩＣタグ（ＲＦＩＤ）及びセンサーネットワーク用の，表面音響波（ＳＡＷ）を使った高感度歪みセンサーについて述べ，歪みで起こるＳＡＷ共振周波数シフトを観測する歪み測定法を数値的に論述する。,78,2021-05-19 22:14:48.736000,2021-05-19 22:14:56.815000,0:00:08.079000
JPN,ENU,jpneng25146,NHK_0425002735_AS12RSTFRORNtrg-rmt.en.txt,11,ＳＡＷ共振周波数と周波数分解能をそれぞれ１ＧＨｚと０．１Ｈｚと仮定すると，検出可能歪みは１０−１０と計算される。,51,2021-05-16 18:35:50.412000,2021-05-16 18:36:07.074000,0:00:16.662000
