Source,Target,User,System,SegmentID,Segment,Score,Start,End,Delta
ENU,JPN,engjpn25128,NHK_0425002224_AS12RSTFRNtrg-rmt.jpn.txt,1,"Details of dose rate of ""Fugen Power Plant"" can be calculated by using DERS software.",54,2021-05-16 06:10:04.788000,2021-05-16 06:10:08.563000,0:00:03.775000
ENU,JPN,engjpn2513d,NHK_0425002224_AS12RSTFRNtrg-rmt.jpn.txt,2,"The changes of conditions for computation of the dose rate, namely, object changes, are inputted to DERS from VRdose software by using a special marker.",77,2021-05-17 16:29:37.816000,2021-05-17 16:30:14.372000,0:00:36.556000
ENU,JPN,engjpn2512a,NHK_0425002224_AS12RSTFRNtrg-rmt.jpn.txt,3,Responding to these changes DERS can compute new dose rate.,97,2021-05-15 19:41:23.007000,2021-05-15 19:41:33.148000,0:00:10.141000
ENU,JPN,engjpn2514a,NHK_0425002224_AS12RSTFRNtrg-rmt.jpn.txt,4,"The characteristics of R5 version of this software, instruction manual, and design document were summarized.",78,2021-05-17 09:53:37.540000,2021-05-17 09:53:46.864000,0:00:09.324000
ENU,JPN,engjpn25105,NHK_0425002224_AS12RSTFRNtrg-rmt.jpn.txt,4,"The characteristics of R5 version of this software, instruction manual, and design document were summarized.",89,2021-05-14 07:02:03.172000,2021-05-14 07:02:24.421000,0:00:21.249000
ENU,JPN,engjpn25148,NHK_0425002224_AS12RSTFRNtrg-rmt.jpn.txt,5,"Here was developed a phase shift magnetic sensor system composed of two sets of coils, amplifiers, and phase shifts for sensing and output.",60,2021-05-17 01:13:31.074000,2021-05-17 01:13:44.943000,0:00:13.869000
ENU,JPN,engjpn25102,NHK_0425002224_AS12RSTFRNtrg-rmt.jpn.txt,5,"Here was developed a phase shift magnetic sensor system composed of two sets of coils, amplifiers, and phase shifts for sensing and output.",85,2021-05-13 19:12:41.388000,2021-05-13 19:13:01.769000,0:00:20.381000
ENU,JPN,engjpn25143,NHK_0425002224_AS12RSTFRNtrg-rmt.jpn.txt,6,"This is a feedback circuit shifting resonance frequency by chang of input signal phase, which can detect change of magnetic features of an object present at a center of two coils on high sensitivity and resolution.",87,2021-05-17 00:20:32.357000,2021-05-17 00:20:38.902000,0:00:06.545000
ENU,JPN,engjpn25138,NHK_0425002224_AS12RSTFRNtrg-rmt.jpn.txt,7,"For the coils, here were used two coils with 6mm of inner diameter and 800 of coil number by inversely connecting.",91,2021-05-15 16:07:28.184000,2021-05-15 16:07:36.597000,0:00:08.413000
ENU,JPN,engjpn2511a,NHK_0425002224_AS12RSTFRNtrg-rmt.jpn.txt,8,"On a test, it was possible to analyze features of city water, pure water, city water treated by magnetized device by changing frequency.",23,2021-05-19 00:25:44.806000,2021-05-19 00:25:47.699000,0:00:02.893000
