Source,Target,User,System,SegmentID,Segment,Score,Start,End,Delta
JPN,ENU,jpneng25115,TMU_0503132349_sorted_seg14.output.txt,1,ＤＥＲＳソフトウエアを用いて「ふげん発電所」の線量率を詳細に計算できる。,76,2021-05-19 06:36:19.973000,2021-05-19 06:36:41.539000,0:00:21.566000
JPN,ENU,jpneng2511c,TMU_0503132349_sorted_seg14.output.txt,2,線量率を計算する際の状況の変化，すなわちオブジェクトの変化をＶＲｄｏｓｅソフトウエアがＤＥＲＳに特別なマーカにより知らせる。,8,2021-05-14 20:58:16.349000,2021-05-14 20:58:22.565000,0:00:06.216000
JPN,ENU,jpneng25119,TMU_0503132349_sorted_seg14.output.txt,4,このソフトウエアのＲ５バージョンの特徴，利用マニュアルと設計文書をまとめた。,72,2021-05-17 23:19:24.145000,2021-05-17 23:19:36.232000,0:00:12.087000
JPN,ENU,jpneng25123,TMU_0503132349_sorted_seg14.output.txt,5,感知用と出力用の２基のコイル，増幅器，及び位相シフト回路からなる，位相シフト磁気センサーシステムを開発している。,73,2021-05-19 22:44:33.228000,2021-05-19 22:44:41.079000,0:00:07.851000
JPN,ENU,jpneng2510c,TMU_0503132349_sorted_seg14.output.txt,6,この回路は，入力信号位相の変化により共振周波数がシフトする帰還回路であり，２基のコイルの中央にある物体の磁気特性の変化を，高い感度と分解能で検出することができる。,77,2021-05-16 12:37:25.408000,2021-05-16 12:37:46.787000,0:00:21.379000
JPN,ENU,jpneng25134,TMU_0503132349_sorted_seg14.output.txt,7,コイルとしては，内径６ｍｍで８００ターンの２基のコイルを逆接続して用いた。,2,2021-05-17 04:41:40.361000,2021-05-17 04:41:58.695000,0:00:18.334000
JPN,ENU,jpneng25120,TMU_0503132349_sorted_seg14.output.txt,8,実験では，水道水，純水，及び磁化デバイスで処理した水道水の特性を周波数変化として分析することができた。,2,2021-05-14 08:04:18.194000,2021-05-14 08:04:28.025000,0:00:09.831000
JPN,ENU,jpneng25137,TMU_0503132349_sorted_seg14.output.txt,9,また，流速と流量の変化も検出できることを確認した。,69,2021-05-16 10:23:21.106000,2021-05-16 10:23:34.132000,0:00:13.026000
JPN,ENU,jpneng25123,TMU_0503132349_sorted_seg14.output.txt,10,無線ＩＣタグ（ＲＦＩＤ）及びセンサーネットワーク用の，表面音響波（ＳＡＷ）を使った高感度歪みセンサーについて述べ，歪みで起こるＳＡＷ共振周波数シフトを観測する歪み測定法を数値的に論述する。,73,2021-05-19 22:15:59.093000,2021-05-19 22:16:16.709000,0:00:17.616000
JPN,ENU,jpneng25146,TMU_0503132349_sorted_seg14.output.txt,11,ＳＡＷ共振周波数と周波数分解能をそれぞれ１ＧＨｚと０．１Ｈｚと仮定すると，検出可能歪みは１０−１０と計算される。,6,2021-05-16 18:42:39.391000,2021-05-16 18:42:52.842000,0:00:13.451000
JPN,ENU,jpneng2512e,TMU_0503132349_sorted_seg14.output.txt,12,共振周波数４０ＭＨｚのＳＡＷセンサーを設計し，水晶基板上にマイクロマシニングで作製した。,25,2021-05-19 03:12:40.465000,2021-05-19 03:12:49.447000,0:00:08.982000
JPN,ENU,jpneng25107,TMU_0503132349_sorted_seg14.output.txt,14,３相相関イメージセンサー（ｔｈｒｅｅ−ｐｈａｓｅ　ｃｏｒｒｅｌａｔｉｏｎ　ｉｍａｇｅ　ｓｅｎｓｏｒ：３ＰＣＩＳ）を使った実時間の位相スタンプ・レンジファインダー（ｐｈａｓｅ−ｓｔａｍｐ　ｒａｎｇｅ　ｆｉｎｄｅｒ：ＰＳＲＦ）を提案する。,100,2021-05-15 06:34:00.394000,2021-05-15 06:34:19.344000,0:00:18.950000
JPN,ENU,jpneng25148,TMU_0503132349_sorted_seg14.output.txt,15,３ＰＣＩＳと３相基準信号発生装置を除けば，従来の光ストライプ・レンジファインダーと同じ部品から構成される。,26,2021-05-17 14:27:15.049000,2021-05-17 14:27:42.612000,0:00:27.563000
JPN,ENU,jpneng25103,TMU_0503132349_sorted_seg14.output.txt,16,シートビームで単一走査が行われる間，各ピクセル上で光ストライプが撮像された瞬間に３ＰＣＩＳが基準信号の位相をスタンプする。,24,2021-05-14 08:28:02.793000,2021-05-14 08:28:13.056000,0:00:10.263000
JPN,ENU,jpneng25126,TMU_0503132349_sorted_seg14.output.txt,17,こうして，検出された位相を投影シートビームの角度に変換することにより，対象物の３次元形状が実時間で得られる。,50,2021-05-17 19:30:12.768000,2021-05-17 19:30:22.804000,0:00:10.036000
JPN,ENU,jpneng2512d,TMU_0503132349_sorted_seg14.output.txt,18,時間スタンプＶＬＳＩレンジファインダーに比べると，ＰＳＲＦは対象物体の表面反射度の空間的不均一性や背景照明の影響を受けにくい。,78,2021-05-19 02:38:55.940000,2021-05-19 02:39:01.092000,0:00:05.152000
JPN,ENU,jpneng25131,TMU_0503132349_sorted_seg14.output.txt,19,また提案ＰＳＲＦは変調型ＰＳＲＦより構造が簡単である。,26,2021-05-14 17:51:47.861000,2021-05-14 17:52:05.036000,0:00:17.175000
JPN,ENU,jpneng2510b,TMU_0503132349_sorted_seg14.output.txt,20,水の性質の多様性について，まず，水分子同士の間に働く力である水素結合と，そのネットワーク構造について解説した。,49,2021-05-17 03:21:42.730000,2021-05-17 03:21:48.735000,0:00:06.005000
JPN,ENU,jpneng25148,TMU_0503132349_sorted_seg14.output.txt,21,次に，水の運動の基本である水素結合ネットワークの変化を説明した。,45,2021-05-17 14:24:08.342000,2021-05-17 14:25:53.940000,0:01:45.598000
JPN,ENU,jpneng25138,TMU_0503132349_sorted_seg14.output.txt,22,水素結合を成している局所部分の水分子が集団的に動き，他の部分の水分子は動いていない。,93,2021-05-15 18:47:08.191000,2021-05-15 18:47:15.050000,0:00:06.859000
JPN,ENU,jpneng2510a,TMU_0503132349_sorted_seg14.output.txt,23,このような間欠運動に伴うエネルギー揺らぎを示した。,72,2021-05-18 23:49:48.066000,2021-05-18 23:50:07.081000,0:00:19.015000
JPN,ENU,jpneng25119,TMU_0503132349_sorted_seg14.output.txt,24,最後に，水の凍り方および水のｐＨの変化の様子とｐＨ７の意味を説明した。,77,2021-05-17 20:12:30.205000,2021-05-17 20:12:53.585000,0:00:23.380000
JPN,ENU,jpneng2510e,TMU_0503132349_sorted_seg14.output.txt,25,シリコン基板上に絶縁体や金属，強誘電体の単結晶膜を形成する技術成果について紹介した。,26,2021-05-14 08:45:08.321000,2021-05-14 08:45:28.986000,0:00:20.665000
JPN,ENU,jpneng25147,TMU_0503132349_sorted_seg14.output.txt,27,化学的に安定なアルミナ膜の上には，ＣＶＤ法やＭＢＥ法により種々の機能性薄膜を形成できる。,25,2021-05-16 19:42:13.385000,2021-05-16 19:42:19.822000,0:00:06.437000
JPN,ENU,jpneng25125,TMU_0503132349_sorted_seg14.output.txt,28,多層薄膜による各種のセンサを実現しているとした。,42,2021-05-15 05:52:15.757000,2021-05-15 05:52:19.287000,0:00:03.530000
JPN,ENU,jpneng25141,TMU_0503132349_sorted_seg14.output.txt,29,位相差電子顕微鏡開発の最難関であった位相板の帯電問題の解決に向けて何を行ってきたかを報告した。,72,2021-05-19 02:39:33.374000,2021-05-19 02:39:52.683000,0:00:19.309000
JPN,ENU,jpneng25149,TMU_0503132349_sorted_seg14.output.txt,31,一つは，位相板の微細加工技術で，これについてはＦＩＢ（フォーカスイオンビーム装置）による加工法で解決した。,81,2021-05-17 05:15:52.895000,2021-05-17 05:16:10.090000,0:00:17.195000
JPN,ENU,jpneng25122,TMU_0503132349_sorted_seg14.output.txt,32,もう一つは，位相板の帯電問題であり，そのうち，１）薄膜加工時の不可避な帯電汚れについては，サンドイッチ炭素コーティングにより解決し，２）有機物試料からの電顕内在的汚れについては，新型電子顕微鏡装置の作製で解決を図った。,67,2021-05-17 23:24:34.767000,2021-05-17 23:24:51.208000,0:00:16.441000
JPN,ENU,jpneng25127,TMU_0503132349_sorted_seg14.output.txt,33,標記のハフニウム関連薄膜酸化物はフィールド効果トランジスタ（ＦＥＴ）用の先端ゲート誘電体として広く研究されている。,3,2021-05-14 19:24:14.717000,2021-05-14 19:25:28.328000,0:01:13.611000
JPN,ENU,jpneng25144,TMU_0503132349_sorted_seg14.output.txt,34,そこでＨｆＯ２及びＳｉＮｘから構成される高いｋナノラミネート材料の物理特性を検討した。,64,2021-05-16 22:36:44.951000,2021-05-16 22:37:12.411000,0:00:27.460000
JPN,ENU,jpneng25146,TMU_0503132349_sorted_seg14.output.txt,35,表面分析法を用いて沈着プロセス及びアニーリングプロセスの影響を調べた。,3,2021-05-16 19:39:15.280000,2021-05-16 19:39:23.415000,0:00:08.135000
JPN,ENU,jpneng25130,TMU_0503132349_sorted_seg14.output.txt,36,ＸＰＳを用いて化学状態の変化，深さ方向組成プロフィール及びバンドオフセットを調べた。,76,2021-05-14 16:18:56.286000,2021-05-14 16:19:06.718000,0:00:10.432000
JPN,ENU,jpneng2512f,TMU_0503132349_sorted_seg14.output.txt,37,またＥＳＥＥＬＳ法（弾性散乱電子エネルギーロススペクトル）を用いてバンドギャップを調べた。,45,2021-05-19 01:34:50.591000,2021-05-19 01:34:54.970000,0:00:04.379000
JPN,ENU,jpneng25149,TMU_0503132349_sorted_seg14.output.txt,38,Ｈｆ／（Ｈｆ＋Ｓｉ）比はバンドギャップに影響を与えないが，ナノラミネートに対するバンドオフセットに対しては影響をもたらす，ことが明らかになった。,72,2021-05-17 06:13:43,2021-05-17 06:13:53.076000,0:00:10.076000
JPN,ENU,jpneng2512b,TMU_0503132349_sorted_seg14.output.txt,39,Ｈａｒｔｒｅｅ−Ｆｏｃｋ−Ｂｏｇｏｌｉｕｂｏｖ法を用いて変形した原子核の対密度分布を調べた。,70,2021-05-16 03:28:38.100000,2021-05-16 03:29:03.709000,0:00:25.609000
JPN,ENU,jpneng25116,TMU_0503132349_sorted_seg14.output.txt,40,軸対称な四重極変形した原子核を対象にした。,34,2021-05-17 04:41:41.192000,2021-05-17 04:41:46.272000,0:00:05.080000
JPN,ENU,jpneng2511d,TMU_0503132349_sorted_seg14.output.txt,41,表面型対相関を用いて密度分布と対密度分布の角度依存性を求めた。,58,2021-05-19 07:46:36.227000,2021-05-19 07:46:46.807000,0:00:10.580000
JPN,ENU,jpneng2511e,TMU_0503132349_sorted_seg14.output.txt,42,動径軸から０，π／４，π／２の角度について１０２Ｚｒを解析した。,1,2021-05-18 02:04:32.133000,2021-05-18 02:04:37.098000,0:00:04.965000
JPN,ENU,jpneng2510a,TMU_0503132349_sorted_seg14.output.txt,43,変形が対密度分布に影響していることが分かった。,61,2021-05-19 00:01:17.839000,2021-05-19 00:01:38.728000,0:00:20.889000
JPN,ENU,jpneng25106,TMU_0503132349_sorted_seg14.output.txt,44,僅かに過剰添加（Ｔｃ＝８６．０Ｋ）及び中程度に過剰添加（Ｔｃ＝８２．５Ｋ）したＢｉ２Ｓｒ２ＣａＣｕ２Ｏ８＋δ（Ｂｉ‐２２１２）単結晶のＪｏｓｅｐｈｓｏｎ渦糸フロー抵抗を測定して磁気状態図を調べた。,74,2021-05-14 20:17:53.438000,2021-05-14 20:19:16.746000,0:01:23.308000
